SourceID,SourceOrganismName,SourceTypeName,SourceCategoryName
"1","Baicalospongia bacilifera","Sponge","Baikal macroinvertebrates"
"2","Baikalobia variegata","Planaria","Baikal macroinvertebrates"
"3","Trichoptera sp.","Caddish fly","Baikal macroinvertebrates"
"4","Pallasea cancellus","Amphipoda","Baikal macroinvertebrates"
"5","Brandtia sp.","Amphipoda","Baikal macroinvertebrates"
"6","L.baikalensis","Sponge","Baikal macroinvertebrates"
"7","H2O from sponge","Water","Baikal macroinvertebrates"
"8","Benedictia ongurensis (с яйцами)","Gastropoda","Baikal macroinvertebrates"
"9","Benedictia ongurensis (яица)","Gastropoda","Baikal macroinvertebrates"
"10","лунное молоко на полке грота вход в скворешник","Moonmilk","Grots"
"11","пикет 599 лунное молоко на стене грота","Moonmilk","Grots"
"12","пикет 23, лунное молоко на стене хода","Moonmilk","Grots"
"13","пикет 45. лунное молоко на стене хода","Moonmilk","Grots"
"14","пикет 69. лунное молоко на камне","Moonmilk","Grots"
"15","пикет № 0152, лунное молоко на стене хода","Moonmilk","Grots"
"16","пикет № 0143, лунное молоко на потолке хода","Moonmilk","Grots"
"17","пикет № 0140, лунное молоко на стене хода","Moonmilk","Grots"
"18","пикет № 0138, лунное молоко на стене хода","Moonmilk","Grots"
"19","Lignocellulose","Lignocellulose","Lignocellulose"
"20","Агаровая чашка с глубины 300м (7 дней выдерживания)","Water","Baikal"
"21","Чашка Петри с глубины 300 м","Water","Baikal"
"22","Benedictia sp. (baicalensis) 5 0m","Gastropoda","Baikal macroinvertebrates"
"23","Eulimnogammarus verrucosus","Amphipoda","Baikal macroinvertebrates"
"24","Benedictia sp. (baicalensis) 1 00m","Gastropoda","Baikal macroinvertebrates"
"25","пикет 255, копролит","Organic material","Grots"
"26","Stagnicola corvus","Gastropoda","Belarus macroinvertebrates"
"27","разлом колокольный, (лунное молоко)","Moonmilk","Grots"
"28","пикет 91, трупные ткани из мозгового отдела черепа кабарги","Organic material","Grots"
"29","пикет 91 органические остатки с кости кабарги (трупное пятно)","Organic material","Grots"
"30","череп оленя, органические останки","Organic material","Grots"
"31","грот Лунный,лунное молоко","Moonmilk","Grots"
"32","Benedictia sp. (baicalensis) 1 50m","Gastropoda","Baikal macroinvertebrates"
"33","пикет 255, останки летучей мыши","Organic material","Grots"
"34","Hybomitra sp.","Tabanidae","Insects"
"35","Draparnaldioides sp.","Algae","Plants"
"36","пыльца Pinus sp.","Pollen","Plants"
"37","Водоем,(вода)","Water","Grots"
"38","озеро, пленка на поверхности воды","Water","Grots"
"39","Eulimnogammarus cyaneus","Amphipoda","Baikal macroinvertebrates"
"40","1 водоем система трех озер, п. Большая орешная (вода)","Water","Grots"
"41","Trichoptera sp.","Trichoptera","Baikal macroinvertebrates"
"42","Sponge sp.","Sponge","Baikal macroinvertebrates"
"43","пикет № 0134, лунное молоко на стене хода","Moonmilk","Grots"
"44","пикет № 0132, лунное молоко на стене хода","Moonmilk","Grots"
"45","Pallasea brandtii flaviceps","Amphipoda","Baikal macroinvertebrates"
"46","Crypturopus tuberculatus","Amphipoda","Baikal macroinvertebrates"
"47","Acanthogammarus godlewskii","Amphipoda","Baikal macroinvertebrates"
"48","Pallasea (Pallasea) cancelloides","Amphipoda","Baikal macroinvertebrates"
"49","Eulimnogammarus cruentus","Amphipoda","Baikal macroinvertebrates"
"50","Eulimnogammarus (Philolimnogammarus) viridis viridis","Amphipoda","Baikal macroinvertebrates"
"51","Brandtia (Brandtia) latissima lata","Amphipoda","Baikal macroinvertebrates"
"52","Oligochaeta sp.","Oligochaeta","Baikal macroinvertebrates"
"53","Ommatogammarus ablinus 8 0m","Amphipoda","Baikal macroinvertebrates"
"54","Ommatogammarus flavus 8 0m","Amphipoda","Baikal macroinvertebrates"
"55","Ommatogammarus flavus 1 00m","Amphipoda","Baikal macroinvertebrates"
"56","Ommatogammarus albinus 1 00m","Amphipoda","Baikal macroinvertebrates"
"57","Ommatogammarus flavus 2 00m","Amphipoda","Baikal macroinvertebrates"
"58","Ommatogammarus albinus 2 00m","Amphipoda","Baikal macroinvertebrates"
"59","Parapallasea puzylii puzyllii","Amphipoda","Baikal macroinvertebrates"
"60","Eulimnogammarus ussolzewii 1 50m","Amphipoda","Baikal macroinvertebrates"
"61","Eulimnogammarus aheneus 1 50m","Amphipoda","Baikal macroinvertebrates"
"62","Ommatogammarus carreolus malanophthalmus 2 00m","Amphipoda","Baikal macroinvertebrates"
"63","Eulimnogammarus ussolzewii 3 00m","Amphipoda","Baikal macroinvertebrates"
"64","Ommatogammarus carreolus malanophthalmus 3 00m","Amphipoda","Baikal macroinvertebrates"
"65","Acanthogammarus lappaceus longispinus","Amphipoda","Baikal macroinvertebrates"
"66","Parapallasea puzylii puzyllii (уросома)","Amphipoda","Baikal macroinvertebrates"
"67","Parapallasea puzylii puzyllii (пищеварительный тракт)","Amphipoda","Baikal macroinvertebrates"
"68","Parapallasea puzylii puzyllii (мышца)","Amphipoda","Baikal macroinvertebrates"
"69","Acanthogammarus lappaceus longispinus (мышца)","Amphipoda","Baikal macroinvertebrates"
"70","Acanthogammarus lappaceus longispinus (голова)","Amphipoda","Baikal macroinvertebrates"
"71","Acanthogammarus lappaceus longispinus (пищеварительный тракт)","Amphipoda","Baikal macroinvertebrates"
"72","Acanthogammarus lappaceus longispinus (нижняя часть тела)","Amphipoda","Baikal macroinvertebrates"
"73","Acanthogammarus lappaceus longispinus (уросома)","Amphipoda","Baikal macroinvertebrates"
"74","Garjajewia cabanisii cabanisii","Amphipoda","Baikal macroinvertebrates"
"75","Plesiogammarus brevis mazepovae","Amphipoda","Baikal macroinvertebrates"
"76","Parapallasea puzullii puzyllii","Amphipoda","Baikal macroinvertebrates"
"77","Paragarjajevia petersii microphthalma","Amphipoda","Baikal macroinvertebrates"
"78","Pallasea (Pallasea) grubii grubii","Amphipoda","Baikal macroinvertebrates"
"79","Poekilogammarus (Poekilogammarus) pictus","Amphipoda","Baikal macroinvertebrates"
"80","Poekilogammarus (Bathygammarus) semenkewitschii okunevae","Amphipoda","Baikal macroinvertebrates"
"81","Paragarjajevia petersii","Amphipoda","Baikal macroinvertebrates"
"82","Echiuropus (Asprogammarus) rhodophthalmus microphthalmus","Amphipoda","Baikal macroinvertebrates"
"83","Plesiogammarus martinsoni martinsoni","Amphipoda","Baikal macroinvertebrates"
"84","Parapallasea borowskii borowskii","Amphipoda","Baikal macroinvertebrates"
"85","Acanthogammarus (Acanthogammarus) lappaceus lapaceus","Amphipoda","Baikal macroinvertebrates"
"86","Acanthogammarus (Brachymorpus) flavus flavus","Amphipoda","Baikal macroinvertebrates"
"87","Ommatogammarus flavus 7 50m","Amphipoda","Baikal macroinvertebrates"
"88","Ommatogammarus flavus 3 00m","Amphipoda","Baikal macroinvertebrates"
"89","Ommatogammarus flavus 1 50m","Amphipoda","Baikal macroinvertebrates"
"90","Ommatogammarus albinus 1 50m","Amphipoda","Baikal macroinvertebrates"
"91","Sediments 5 0m","Sediments","Sediments"
"92","Sediments 1 50m","Sediments","Sediments"
"93","Sediments 2 00m","Sediments","Sediments"
"94","Water 5 0m","Water","Water"
"95","Water 2 00m","Water","Water"
"96","Sediment 0 5m sand and stones","Sediments","Sediments"
"97","Eulimnogammarus verrucosus chitin layer (female)","Amphipoda","Baikal macroinvertebrates"
"98","Eulimnogammarus verrucosus body (female)","Amphipoda","Baikal macroinvertebrates"
"99","Gmelinoides fasciatus","Amphipoda","Baikal macroinvertebrates"
"100","Gammarus lacustris","Amphipoda","Macroinvertebrates"