StrainID,ShortStrainCode,RRNATaxonomy,StrainIdentifierValue,StrainNameAlt,RCAMCollectionID
"1","IB2014А01-2","Streptomyces sp.","Streptomyces sp.  IB2014А01-2","Streptomyces sp.  IB2014А01-2",""
"2","IB2014А02-2","Pseudonocardia sp.","Pseudonocardia sp.  IB2014А02-2","Pseudonocardia sp.  IB2014А02-2","RCAM03474"
"3","IB2014А02-2","Pseudonocardia sp.","Pseudonocardia sp.  IB2014А02-3","Pseudonocardia sp.  IB2014А02-3","RCAM03474"
"4","IB2014А08-1","Micromonospora sp.","Micromonospora sp. IB2014А08-1","Micromonospora sp. IB2014А08-1","RCAM03473"
"5","IB2014А010-1","Streptomyces sp.","Streptomyces sp. IB2014А010-1","Streptomyces sp. IB2014А010-1","RCAM03463"
"6","IB2014А010-2","Streptomyces sp.","Streptomyces sp.  IB2014А010-2","Streptomyces sp.  IB2014А010-2",""
"7","IB2014А010-3","Streptomyces sp.","Streptomyces sp. IB2014А010-3","Streptomyces sp. IB2014А010-3",""
"8","IB2014А 011-1","Streptomyces sp.","Streptomyces sp.  IB2014А011-1","Streptomyces sp.  IB2014А011-1","RCAM03464"
"9","IB2014А 011-2","Streptomyces sp.","Streptomyces sp.  IB2014А011-2","Streptomyces sp.  IB2014А011-2",""
"10","IB2014А 011-3","Streptomyces sp.","Streptomyces sp.  IB2014А011-3","Streptomyces sp.  IB2014А011-3",""
"11","IB2014А 011-6","Streptomyces sp.","Streptomyces sp.  IB2014А011-6","Streptomyces sp.  IB2014А011-6",""
"12","IB2014А 011-7","Nocardia sp.","Nocardia sp. IB2014А011-7","Nocardia sp. IB2014А011-7",""
"13","IB2014А 011-9","Nocardia sp.","Nocardia sp. IB2014А011-8","Nocardia sp. IB2014А011-8","RCAM03476"
"14","IB2014А 011-10","Streptomyces sp.","Streptomyces sp.  IB2014А011-10","Streptomyces sp.  IB2014А011-10",""
"15","IB2014А011-11","Agromyces sp.","Agromyces sp.  IB2014А011-11","Agromyces sp.  IB2014А011-11","RCAM03465"
"16","IB2014А011-12","Streptomyces sp.","Streptomyces sp.  IB2014А011-12","Streptomyces sp.  IB2014А011-12",""
"17","IB2014А011-13","Streptomyces sp.","Streptomyces sp.  IB2014А011-13","Streptomyces sp.  IB2014А011-13",""
"18","IB2014А014-5","Nocardia sp.","Nocardia sp. IB2014А014-5","Nocardia sp. IB2014А014-5","RCAM03466"
"19","IB2014А 016-1","Streptomyces sp.","Streptomyces sp.  IB2014А016-1","Streptomyces sp.  IB2014А016-1",""
"20","IB2014А 016-2","Streptomyces sp.","Streptomyces sp.  IB2014А016-2","Streptomyces sp.  IB2014А016-2","RCAM04092"
"21","IB2014А 016-5","Streptomyces sp.","Streptomyces sp.  IB2014А016-5","Streptomyces sp.  IB2014А016-5",""
"22","IB2014А 016-6","Streptomyces sp.","Streptomyces sp.  IB2014А016-6","Streptomyces sp.  IB2014А016-6","RCAM03467"
"23","IB2014А 016-9","Aeromicrobium sp.","Aeromicrobium sp.  IB2014А016-9","Aeromicrobium sp.  IB2014А016-9","RCAM03468"
"24","IB2014А 017-1","Nocardia sp.","Nocardia sp. IB2014А017-1","Nocardia sp. IB2014А017-1",""
"25","IB2014А 017-3","Nocardia sp.","Nocardia sp. IB2014А017-3","Nocardia sp. IB2014А017-3","RCAM03469"
"26","IB2014А 017-6","Nocardia sp.","Nocardia sp. IB2014А017-6","Nocardia sp. IB2014А017-6",""
"27","IB2014А 017-7","Nocardia sp.","Nocardia sp. IB2014А017-7","Nocardia sp. IB2014А017-7","RCAM03470"
"28","05-1-HS","Micromonospora sp.","Micromonospora sp. IB2014А05-1HS","Micromonospora sp. IB2014А05-1HS",""
"29","011-1-HS","Nocardia sp.","Nocardia sp. IB2014А11-1HS","Nocardia sp. IB2014А11-1HS",""
"30","011-2-HS","Micromonospora sp.","Micromonospora sp.  IB2014А011-2HS","Micromonospora sp.  IB2014А011-2HS",""
"31","011-4","Streptomyces sp.","Streptomyces sp. IB2014А011-4","Streptomyces sp. IB2014А011-4",""
"32","017-4","Nocardia sp.","Nocardia sp. IB2014А17-4","Nocardia sp. IB2014А17-4",""
"33","019-1HS","Streptomyces sp.","Streptomyces sp.IB2015A019-1HS","Streptomyces sp.IB2015A019-1HS","RCAM04741"
"34","IB2015А57-1","Streptomyces sp.","Streptomyces sp. IB2015А57-1","Streptomyces sp. IB2015А57-1",""
"35","IB2015А57-2","Streptomyces sp.","Streptomyces sp. IB2015А57-2","Streptomyces sp. IB2015А57-2",""
"36","IB2015А61-1","Streptomyces sp.","Streptomyces sp. IB2015А61-1","Streptomyces sp. IB2015А61-1",""
"37","IB2015А61-2","Streptomyces sp.","Streptomyces sp. IB2015А61-2","Streptomyces sp. IB2015А61-2",""
"38","IB2017M1-1HS","","IB2017M1-1HS","IB2017M1-1HS",""
"39","IB2017M5-1HS","","IB2017M5-1HS","IB2017M5-1HS",""
"40","IB2017M35-1HS","","IB2017M35-1HS","IB2017M35-1HS",""
"41","IB2017M35-3HS","","IB2017M35-3HS","IB2017M35-3HS",""
"42","IB2017M33-1-100HS","","IB2017M33-1-100HS","IB2017M33-1-100HS",""
"43","IB2017M33-2","","IB2017M33-2","IB2017M33-2",""
"44","IB2017M25-2-100HS","","IB2017M25-2-100HS","IB2017M25-2-100HS",""
"45","IB2017M25-1","","IB2017M25-1","IB2017M25-1",""
"46","IB2017M40-1-100HS","","IB2017M40-1-100HS","IB2017M40-1-100HS",""
"47","IB2017M41-1-100HS","","IB2017M41-1-100HS","IB2017M41-1-100HS",""
"48","IB2017M42-1-100HS","","IB2017M42-1-100HS","IB2017M42-1-100HS",""
"49","IB2017M43-1","","IB2017M43-1","IB2017M43-1",""
"50","IB2015 LN-A-2015-1","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-1","Streptomyces sp.IB2015 LN-A-2015-1",""
"51","IB2015 LN-A-2015-2","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-2","Streptomyces sp.IB2015 LN-A-2015-2",""
"52","IB2015 LN-A-2015-3","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-3","Streptomyces sp.IB2015 LN-A-2015-3",""
"53","IB2015 LN-A-2015-4","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-4","Streptomyces sp.IB2015 LN-A-2015-4",""
"54","IB2015 LN-A-2015-5","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-5","Streptomyces sp.IB2015 LN-A-2015-5",""
"55","IB2015 LN-A-2015-6","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-6","Streptomyces sp.IB2015 LN-A-2015-6",""
"56","IB2015 LN-A-2015-7","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-7","Streptomyces sp.IB2015 LN-A-2015-7",""
"57","IB2015 LN-A-2015-8","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-8","Streptomyces sp.IB2015 LN-A-2015-8",""
"58","IB2015 LN-A-2015-9","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-9","Streptomyces sp.IB2015 LN-A-2015-9",""
"59","IB2015 LN-A-2015-10","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-10","Streptomyces sp.IB2015 LN-A-2015-10",""
"60","IB2015 LN-A-2015-11","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-11","Streptomyces sp.IB2015 LN-A-2015-11",""
"61","IB2015 LN-A-2015-12","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-12","Streptomyces sp.IB2015 LN-A-2015-12",""
"62","IB2015 LN-A-2015-13","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-13","Streptomyces sp.IB2015 LN-A-2015-13",""
"63","IB2015 LN-A-2015-14","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-14","Streptomyces sp.IB2015 LN-A-2015-14",""
"64","IB2015 LN-A-2015-2015","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-15","Streptomyces sp.IB2015 LN-A-2015-15",""
"65","IB2015 LN-A-2015-16","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-16","Streptomyces sp.IB2015 LN-A-2015-16",""
"66","IB2015 LN-A-2015-17","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-17","Streptomyces sp.IB2015 LN-A-2015-17",""
"67","IB2015 LN-A-2015-18","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-18","Streptomyces sp.IB2015 LN-A-2015-18",""
"68","IB2015 LN-A-2015-19","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-19","Streptomyces sp.IB2015 LN-A-2015-19",""
"69","IB2015 LN-A-2015-20","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-20","Streptomyces sp.IB2015 LN-A-2015-20",""
"70","IB2015 LN-A-2015-21","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-21","Streptomyces sp.IB2015 LN-A-2015-21",""
"71","IB2015 LN-A-2015-22","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-22","Streptomyces sp.IB2015 LN-A-2015-22",""
"72","IB2015 LN-A-2015-23","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-23","Streptomyces sp.IB2015 LN-A-2015-23",""
"73","IB2015 LN-A-2015-24","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-24","Streptomyces sp.IB2015 LN-A-2015-24",""
"74","IB2015 LN-A-2015-25","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-25","Streptomyces sp.IB2015 LN-A-2015-25",""
"75","IB2015 LN-A-2015-26","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-26","Streptomyces sp.IB2015 LN-A-2015-26",""
"76","IB2015 LN-A-2015-27","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-27","Streptomyces sp.IB2015 LN-A-2015-27",""
"77","IB2015 LN-A-2015-28","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-28","Streptomyces sp.IB2015 LN-A-2015-28",""
"78","IB2015 LN-A-2015-29","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-29","Streptomyces sp.IB2015 LN-A-2015-29",""
"79","IB2015 LN-A-2015-30","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-30","Streptomyces sp.IB2015 LN-A-2015-30",""
"80","IB2015 LN-A-2015-31","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-31","Streptomyces sp.IB2015 LN-A-2015-31",""
"81","IB2015 LN-A-2015-32","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-32","Streptomyces sp.IB2015 LN-A-2015-32",""
"82","IB2015 LN-A-2015-6HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-6HS","Streptomyces sp.IB2015 LN-A-2015-6HS",""
"83","IB2015 LN-A-2015-2HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-2HS","Streptomyces sp.IB2015 LN-A-2015-2HS",""
"84","IB2015 LN-A-2015-11HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-11HS","Streptomyces sp.IB2015 LN-A-2015-11HS",""
"85","IB2015 LN-A-2015-7HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-7HS","Streptomyces sp.IB2015 LN-A-2015-7HS",""
"86","IB2015 LN-A-2015-4HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-4HS","Streptomyces sp.IB2015 LN-A-2015-4HS",""
"87","IB2015 LN-A-2015-10HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-10HS","Streptomyces sp.IB2015 LN-A-2015-10HS",""
"88","IB2015 LN-A-2015-3HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-3HS","Streptomyces sp.IB2015 LN-A-2015-3HS",""
"89","IB2015 LN-A-2015-5HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-5HS","Streptomyces sp.IB2015 LN-A-2015-5HS",""
"90","IB2015 LN-A-2015-22HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-22HS","Streptomyces sp.IB2015 LN-A-2015-22HS",""
"91","IB2015 LN-A-2015-33HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-33HS","Streptomyces sp.IB2015 LN-A-2015-33HS",""
"92","IB2015 LN-A-2015-34HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-34HS","Streptomyces sp.IB2015 LN-A-2015-34HS",""
"93","IB2015 LN-A-2015-35HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-35HS","Streptomyces sp.IB2015 LN-A-2015-35HS",""
"94","IB2015 LN-A-2015-36HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-36HS","Streptomyces sp.IB2015 LN-A-2015-36HS",""
"95","IB2015 LN-A-2015-37HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-37HS","Streptomyces sp.IB2015 LN-A-2015-37HS",""
"96","IB2015 LN-A-2015-38HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-38HS","Streptomyces sp.IB2015 LN-A-2015-38HS",""
"97","IB2015 LN-A-2015-39HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-39HS","Streptomyces sp.IB2015 LN-A-2015-39HS",""
"98","IB2015 LN-A-2015-40HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-40HS","Streptomyces sp.IB2015 LN-A-2015-40HS",""
"99","IB2015 LN-A-2015-41HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-41HS","Streptomyces sp.IB2015 LN-A-2015-41HS",""
"100","IB2015 LN-A-2015-42HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-42HS","Streptomyces sp.IB2015 LN-A-2015-42HS",""
"101","IB2015 LN-A-2015-43HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-43HS","Streptomyces sp.IB2015 LN-A-2015-43HS",""
"102","IB2015 LN-A-2015-44HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-44HS","Streptomyces sp.IB2015 LN-A-2015-44HS",""
"103","IB2015 LN-A-2015-45HS","Streptomyces sp.","Streptomyces sp.IB2015 LN-A-2015-45HS","Streptomyces sp.IB2015 LN-A-2015-45HS",""
"104","IB2015I70-1","Streptomyces sp.","Streptomyces sp. IB2015I70-1","Streptomyces sp. IB2015I70-1",""
"105","300/300-1HS","","300/300-1HS","300/300-1HS",""
"106","IB2015A90-10HS","Streptomyces sp.","Streptomyces sp. IB2015A90-10HS","Streptomyces sp. IB2015A90-10HS",""
"107","IB2015A90-12","Rhodococcus sp.","Rhodococcus sp.IB2015A90-12","Rhodococcus sp.IB2015A90-12",""
"108","IB2015A90-14","Streptomyces sp.","Streptomyces sp.IB2015A90-14","Streptomyces sp.IB2015A90-14",""
"109","IB2015I90-15","Streptomyces sp.","Streptomyces sp. IB2015I90-15","Streptomyces sp. IB2015I90-15",""
"110","IB2015I90-17HS","","IB2015I90-17HS","IB2015I90-17HS",""
"111","IB2019U1","Kocuria rhizophila","Kocuria rhizophila IB2019U1","Kocuria rhizophila IB2019U1",""
"112","IB2015A90-19HS","","IB2015I90-19HS","IB2015I90-19HS",""
"113","IB2019U2","Rhodococcus fascialis","Rhodococcus fascialis IB2019U2","Rhodococcus fascialis IB2019U2",""
"114","IB2015I90-24","","IB2015I90-24","IB2015I90-24",""
"115","IB2015I90-25HS","","IB2015I90-25HS","IB2015I90-25HS",""
"116","IB2015I90-26HS","Streptomyces sp.","Streptomyces sp. IB2015I90-26HS","Streptomyces sp. IB2015I90-26HS",""
"117","IB2015A90-30HS","","IB2015I90-30HS","IB2015I90-30HS",""
"118","IB2015A90-32HS","Streptomyces sp.","Streptomyces sp. IB2015A90-32HS","Streptomyces sp. IB2015A90-32HS",""
"119","IB2015A93-16HS","Streptomyces sp.","Streptomyces sp. IB2015A93-16HS","Streptomyces sp. IB2015A93-16HS",""
"120","IB2015A95-8","Streptomyces sp.","Streptomyces sp. IB2015A95-8","Streptomyces sp. IB2015A95-8",""
"121","IB2015A96-9","Rhodococcus sp.","Rhodococcus sp. IB2015A96-9","Rhodococcus sp. IB2015A96-9",""
"122","IB2015I97-5","","IB2015I97-5","IB2015I97-5",""
"123","IB2019U3","Microbacterium hydrocarbonoxydans","Microbacterium hydrocarbonoxydans IB2019U3","Microbacterium hydrocarbonoxydans IB2019U3",""
"124","IB2018U25-3HS","Streptomyces sp.","Streptomyces sp. IB2018U25-3HS","Streptomyces sp. IB2018U25-3HS",""
"125","IB2018I25-3HS","Streptomyces sp.","Streptomyces sp. IB2018U25-3HS","Streptomyces sp. IB2018U25-3HS",""
"126","IB2015I34-2","","IB2015I34-2","IB2015I34-2",""
"127","IB 2016R78-2HS","","IB 2016R78-2HS","IB 2016R78-2HS",""
"128","IB 2016R78-4HS","","IB 2016R78-4HS","IB 2016R78-4HS",""
"129","IB 2016G78-4HS","","IB 2016G78-4HS","IB 2016G78-4HS",""
"130","IB2016R78-5HS","Streptomyces sp.","Streptomyces sp.IB2016R78-5HS","Streptomyces sp.IB2016R78-5HS",""
"131","IB2016R78-9HS","Rhodococcus sp.","Rhodococcus sp.IB 2016R78-9HS","Rhodococcus sp.IB 2016R78-9HS",""
"132","IB2018U99-2","Streptomyces sp.","Streptomyces sp.IB 2018U99-2","Streptomyces sp.IB 2018U99-2",""
"133","IB 2016R78-7","Streptomyces sp.","Streptomyces sp. IB 2016R78-7","Streptomyces sp. IB 2016R78-7",""
"134","IB 2016G99-1","Micromonospora sp.","Micromonospora sp. IB 2016G99-1","Micromonospora sp. IB 2016G99-1",""
"135","IB 2016R78-10","","IB 2016R78-10","IB 2016R78-10",""
"136","IB 2016R78-8","","IB 2016R78-8","IB 2016R78-8",""
"137","IB 2018U99-3","Streptomyces sp.","Streptomyces sp.IB 2018U99-3","Streptomyces sp.IB 2018U99-3",""
"138","IB 2016R78-13","Streptomyces sp.","Streptomyces sp.IB 2016R78-13","Streptomyces sp.IB 2016R78-13",""
"139","IB 2018U18-2HS","Streptomyces sp.","Streptomyces sp.IB 2018U18-2HS","Streptomyces sp.IB 2018U18-2HS",""
"140","IB 2016R78-3HS","Streptomyces sp.","Streptomyces sp.IB 2016R78-3HS","Streptomyces sp.IB 2016R78-3HS",""
"141","IB 2018U35-2HS","Streptomyces sp.","Streptomyces sp. IB 2018U35-2HS","Streptomyces sp. IB 2018U35-2HS",""
"142","IB 2016R28-2HS","Streptomyces sp.","Streptomyces sp.IB 2016R28-2HS","Streptomyces sp.IB 2016R28-2HS",""
"143","IB 2018U35-3HS","Streptomyces sp.","Streptomyces sp.IB 2018U35-3HS","Streptomyces sp.IB 2018U35-3HS",""
"144","IB 2016R78-1HS","Streptomyces sp.","Streptomyces sp.IB 2016R78-1HS","Streptomyces sp.IB 2016R78-1HS",""
"145","IB 2016R78-12","Streptomyces sp.","Streptomyces sp.IB 2016R78-12","Streptomyces sp.IB 2016R78-12",""
"146","IB 2016G35-1HS","Streptomyces sp.","Streptomyces sp. IB 2016G35-1HS","Streptomyces sp. IB 2016G35-1HS",""
"147","IB 2016R28-1HS","Streptomyces sp.","Streptomyces sp.IB 2016R28-1HS","Streptomyces sp.IB 2016R28-1HS","RCAM04726"
"148","IB 2016R78-11HS","","IB 2016R78-11HS","IB 2016R78-11HS",""
"149","IB 2016R78-6HS","","IB 2016R78-6HS","IB 2016R78-6HS",""
"150","IB 2015A89-1","Nocardia sp.","Nocardia sp. IB 2015A89-1","Nocardia sp. IB 2015A89-1",""
"151","IB 2015A89-3HS","Janibacter sp.","Janibacter sp. IB 2015A89-3HS","Janibacter sp. IB 2015A89-3HS",""
"152","IB 2015A89-4HS","Micromonospora sp.","Micromonospora sp. IB 2015A89-4HS","Micromonospora sp. IB 2015A89-4HS",""
"153","IB 2015A89-5HS","Streptomyces sp.","Streptomyces sp. IB 2015A89-5HS","Streptomyces sp. IB 2015A89-5HS",""
"154","IB 2015A89-2HS","Streptomyces sp.","Streptomyces sp. IB 2015A89-2HS","Streptomyces sp. IB 2015A89-2HS",""
"155","IB 2015A90-1","","IB 2015A90-1","IB 2015A90-1",""
"156","IB 2015A90-2","","IB 2015A90-2","IB 2015A90-2",""
"157","IB 2015A90-3","","IB 2015A90-3","IB 2015A90-3",""
"158","IB 2015A90-4","Streptomyces sp.","Streptomyces sp. IB 2015A90-4","Streptomyces sp. IB 2015A90-4",""
"159","IB 2015A90-5","Streptomyces sp.","Streptomyces sp. IB 2015A90-5","Streptomyces sp. IB 2015A90-5",""
"160","IB 2015A90-6","","IB 2015A90-6","IB 2015A90-6",""
"161","IB 2015A90-7","Streptomyces sp.","Streptomyces sp. IB 2015A90-7","Streptomyces sp. IB 2015A90-7",""
"162","IB 2015A90-8","Streptomyces sp.","Streptomyces sp. IB 2015A90-8","Streptomyces sp. IB 2015A90-8",""
"163","IB 2015A90-9","Streptomyces sp.","Streptomyces sp. IB 2015A90-9","Streptomyces sp. IB 2015A90-9",""
"164","IB 2015A90-31HS","Streptomyces sp.","Streptomyces sp. IB 2015A90-31HS","Streptomyces sp. IB 2015A90-31HS",""
"165","IB 2015A90-21","Streptomyces sp.","Streptomyces sp. IB 2015A90-21","Streptomyces sp. IB 2015A90-21",""
"166","IB 2015A90-28","Streptomyces sp.","Streptomyces sp. IB 2015A90-28","Streptomyces sp. IB 2015A90-28",""
"167","IB 2015A90-11HS","Streptomyces sp.","Streptomyces sp. IB 2015A90-11HS","Streptomyces sp. IB 2015A90-11HS",""
"168","IB 2015A90-22HS","Streptomyces sp.","Streptomyces sp. IB 2015A90-22HS","Streptomyces sp. IB 2015A90-22HS",""
"169","IB 2015A90-33HS","Streptomyces sp.","Streptomyces sp. IB 2015A 90-33HS","Streptomyces sp. IB 2015A 90-33HS",""
"170","IB 2015A90-20","Streptomyces sp.","Streptomyces sp. IB 2015A90-20","Streptomyces sp. IB 2015A90-20",""
"171","IB 2015A90-13HS","Streptomyces sp.","Streptomyces sp. IB 2015A90-13HS","Streptomyces sp. IB 2015A90-13HS",""
"172","IB 2015A90-16","Streptomyces sp.","Streptomyces sp. IBA90-16","Streptomyces sp. IBA90-16",""
"173","IB 2015A91-1","Streptomyces sp.","Streptomyces sp. IB 2015A91-1","Streptomyces sp. IB 2015A91-1",""
"174","IB 2015A91-2","Actinomadura sp.","Actinomadura sp. IB 2015A91-2","Actinomadura sp. IB 2015A91-2",""
"175","IB 2015A91-10","Streptosporangium sp.","Streptosporangium sp. IB 2015A91-10","Streptosporangium sp. IB 2015A91-10",""
"176","IB 2015A91-4HS","Streptomyces sp.","Streptomyces sp. IB 2015A91-4HS","Streptomyces sp. IB 2015A91-4HS",""
